infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,100 HALSEY AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,100 HALSEY AVE
PARK ON PRIVATE PROPERTY,30,100 HALSEY AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,HALSEY AVENUE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,100 HALSEY AVE
PARK ON PRIVATE PROPERTY,30,150 GRAYDON HALL DR
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,580 KING ST W
PARK ON PRIVATE PROPERTY,30,1381 DANFORTH AVE
PARK ON PRIVATE PROPERTY,30,20 MINOWAN MIIKAN LANE
PARK ON PRIVATE PROPERTY,30,2757 KIPLING AVE
PARK ON PRIVATE PROPERTY,30,21 MARKBROOK LANE
PARK ON PRIVATE PROPERTY,30,7 FIELD SPARROWAY
PARK ON PRIVATE PROPERTY,30,2 TREE SPARROWAY
PARK ON PRIVATE PROPERTY,30,910 QUEENS PLATE DR
PARK ON PRIVATE PROPERTY,30,100 ROWENDA DR
PARK ON PRIVATE PROPERTY,30,3485 ST CLAIR AVE E
PARK ON PRIVATE PROPERTY,30,3941 LAWRENCE AVE EAST
PARK ON PRIVATE PROPERTY,30,25 BRUCEWOOD CR
PARK ON PRIVATE PROPERTY,30,50 JOHN ST
PARK ON PRIVATE PROPERTY,30,5 VICORA LINKWAY
PARK ON PRIVATE PROPERTY,30,5 VICORA LINKWAY
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,30 GRAND TRUNK CRES
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
PARK ON PRIVATE PROPERTY,30,20 FALSTAFF AVE
