infraction_description 	 set_fine_amount 	 location2
PARK IN A FIRE ROUTE 	 250 	 1770 VICTORIA PARK AVE
PARK IN A FIRE ROUTE 	 250 	 1780 VICTORIA PARK AVE
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 20 WILLIAM KITCHEN RD
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 6 VENA WAY
PARK IN A FIRE ROUTE 	 250 	 2 VENA WAY
PARK IN A FIRE ROUTE 	 250 	 3401 DUFFERIN ST
PARK IN A FIRE ROUTE 	 250 	 2451 BRIDLETOWNE CRCL
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 268 SPRUCEWOOD CRT
PARK IN A FIRE ROUTE 	 250 	 2063 ISLINGTON AVE
PARK IN A FIRE ROUTE 	 250 	 2063 ISLINGTON AVE
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE STREET
PARK IN A FIRE ROUTE 	 250 	 3020 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 3020 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 250 ALTON TOWERS CRCL
PARK IN A FIRE ROUTE 	 250 	 21 COLONEL SAMUEL SMITH PARK DRIVE
PARK IN A FIRE ROUTE 	 250 	 250 ALTON TOWERS CRCL
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 3 APPLEWOOD LANE
PARK IN A FIRE ROUTE 	 250 	 3 APPLEWOOD LANE
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 33 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 2225 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 101 TORO RD
PARK IN A FIRE ROUTE 	 250 	 101 TORO RD
PARK IN A FIRE ROUTE 	 250 	 1000 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 3847 LAWRENCE AVE E
PARK IN A FIRE ROUTE 	 250 	 200 SIR WILLIAM HEARST AVE
PARK IN A FIRE ROUTE 	 250 	 12 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 3850 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1360 DANFORTH RD
PARK IN A FIRE ROUTE 	 250 	 3833 MIDLAND AVE
PARK IN A FIRE ROUTE 	 250 	 3833 MIDLAND AVE
PARK IN A FIRE ROUTE 	 250 	 1571 SANDHURST CRCL
PARK IN A FIRE ROUTE 	 250 	 435 MIDDLEFIELD RD
PARK IN A FIRE ROUTE 	 250 	 61 MARKBROOK LANE
PARK IN A FIRE ROUTE 	 250 	 1780 VICTORIA PARK AVE
PARK IN A FIRE ROUTE 	 250 	 263 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 273 PHARMACY AVE
PARK IN A FIRE ROUTE 	 250 	 35 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 10 NAVY WHARF CRT
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 33 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 33 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 33 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 33 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 2305 MARKHAM RD
PARK IN A FIRE ROUTE 	 250 	 2305 MARKHAM RD
PARK IN A FIRE ROUTE 	 250 	 15 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 2305 MARKHAM RD
PARK IN A FIRE ROUTE 	 250 	 2305 MARKHAM RD
PARK IN A FIRE ROUTE 	 250 	 1770 EGLINTON AVE E
PARK IN A FIRE ROUTE 	 250 	 25 GOSFORD BLVD
PARK IN A FIRE ROUTE 	 250 	 18 ST DENNIS DR
PARK IN A FIRE ROUTE 	 250 	 22 WAKUNDA PL
PARK IN A FIRE ROUTE 	 250 	 32 WAKUNDA PL
PARK IN A FIRE ROUTE 	 250 	 28 WILLIAM KITCHEN RD
PARK IN A FIRE ROUTE 	 250 	 1840 VICTORIA PARK AVE
PARK IN A FIRE ROUTE 	 250 	 240 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 5 CONCORDE PLACE
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1800 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 1462 MIDLAND AVE
PARK IN A FIRE ROUTE 	 250 	 8 ROANOKE RD
PARK IN A FIRE ROUTE 	 250 	 260 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
PARK IN A FIRE ROUTE 	 250 	 151 VILLAGE GREEN SQ
PARK IN A FIRE ROUTE 	 250 	 1535 BIRCHMOUNT RD
PARK IN A FIRE ROUTE 	 250 	 3850 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 60 TOWN CENTRE CRT
PARK IN A FIRE ROUTE 	 250 	 1605 ALBION RD
PARK IN A FIRE ROUTE 	 250 	 36 PARK LAWN RD
PARK IN A FIRE ROUTE 	 250 	 3833 MIDLAND AVE
PARK IN A FIRE ROUTE 	 250 	 3833 MIDLAND AVE
PARK IN A FIRE ROUTE 	 250 	 75 OASIS BLVD
PARK IN A FIRE ROUTE 	 250 	 30 FIELDWAY RD
PARK IN A FIRE ROUTE 	 250 	 30 FIELDWAY RD
PARK IN A FIRE ROUTE 	 250 	 311 WASHBURN WAY
PARK IN A FIRE ROUTE 	 250 	 311 WASHBURN WAY
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 3847 LAWRENCE AVE E
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 2305 MARKHAM RD
PARK IN A FIRE ROUTE 	 250 	 1 TREE SPARROWAY
PARK IN A FIRE ROUTE 	 250 	 25 BAY MILLS BLVD
PARK IN A FIRE ROUTE 	 250 	 500 REXDALE BLVD
PARK IN A FIRE ROUTE 	 250 	 59 WATERFORD DR
PARK IN A FIRE ROUTE 	 250 	 1110 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST.
PARK IN A FIRE ROUTE 	 250 	 2900 WARDEN AVE
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 40 SYLVAN VALLEYWAY
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 4700 KEELE ST
