infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,1515 BATHURST ST
PARK ON PRIVATE PROPERTY,30,66 WALPOLE AVE
PARK ON PRIVATE PROPERTY,30,1915 MARTIN GROVE RD
PARK ON PRIVATE PROPERTY,30,2501 VICTORIA PARK AVE
PARK ON PRIVATE PROPERTY,30,149 COLLEGE ST
PARK ON PRIVATE PROPERTY,30,2075 BAYVIEW AVE
PARK ON PRIVATE PROPERTY,30,66 WALPOLE AVE
PARK ON PRIVATE PROPERTY,30,2501 VICTORIA PARK AVE
PARK ON PRIVATE PROPERTY,30,775 KING ST W
PARK ON PRIVATE PROPERTY,30,66 WALPOLE AVE
PARK ON PRIVATE PROPERTY,30,66 WALPOLE AVE
PARK ON PRIVATE PROPERTY,30,66 WALPOLE AVE
PARK ON PRIVATE PROPERTY,30,121 PARKWAY FOREST DR
PARK ON PRIVATE PROPERTY,30,6230 FINCH AVE W
PARK ON PRIVATE PROPERTY,30,23 KING'S COLLEGE CIR
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,174 JOHN GARLAND BLVD
PARK ON PRIVATE PROPERTY,30,23 KING'S COLLEGE CIRCLE
PARK ON PRIVATE PROPERTY,30,174 JOHN GARLAND BLVD
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,55 ISABELLA ST
PARK ON PRIVATE PROPERTY,30,23 KING'S COLLEGE CIRCLE
PARK ON PRIVATE PROPERTY,30,6230 FINCH AVE W
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,5633 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,31 KING'S COLLEGE CIRCLE
PARK ON PRIVATE PROPERTY,30,237 VICTORIA ST
PARK ON PRIVATE PROPERTY,30,6230 FINCH AVE W
PARK ON PRIVATE PROPERTY,30,100 MAITLAND ST
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,60 CARL HALL RD
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,4256 BATHURST ST
PARK ON PRIVATE PROPERTY,30,9 BERGAMOT AVE
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,9 BERGAMOT AVE
PARK ON PRIVATE PROPERTY,30,4256 BATHURST ST
PARK ON PRIVATE PROPERTY,30,9 BERGAMOT AVE
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,9 BERGAMOT AVE
PARK ON PRIVATE PROPERTY,30,5500 YONGE ST
PARK ON PRIVATE PROPERTY,30,4256 BATHURST ST
PARK ON PRIVATE PROPERTY,30,23 KING'S COLLEGE CIRCLE
PARK ON PRIVATE PROPERTY,30,5500 YONGE ST
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,225 DAVISILLE AVE
PARK ON PRIVATE PROPERTY,30,5500 YONGE ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,45 BALLIOL ST
PARK ON PRIVATE PROPERTY,30,55 ST GEORGE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,73 ELPHICK LANE
PARK ON PRIVATE PROPERTY,30,73 ELPHICK LANE
PARK ON PRIVATE PROPERTY,30,77 DAVISVILLE AVE
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,20 REDGRAVE RD
PARK ON PRIVATE PROPERTY,30,2 BEDFORD RD
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,77 DAVISVILLE AVE
